Nom_Machine,Adresse_IP,Ports_ouverts,Statuts
S24-Ultra-de-Thomas.lan,192.168.1.114,"22, 80, 443","22/closed, 80/closed, 443/closed"
PC-Thomas.lan,192.168.1.144,"22, 80, 443","22/closed, 80/closed, 443/closed"
Samsung.lan,192.168.1.157,"22, 80, 443","22/closed, 80/closed, 443/closed"
iPhone.lan,192.168.1.173,"22, 80, 443","22/closed, 80/closed, 443/closed"
bbox.lan,192.168.1.254,"22, 80, 443","22/closed, 80/open, 443/open"
Host-004.lan,192.168.1.36,"22, 80, 443","22/filtered, 80/filtered, 443/filtered"
Host-002.lan,192.168.1.45,"22, 80, 443","22/filtered, 80/filtered, 443/filtered"
Host-001.lan,192.168.1.68,"22, 80, 443","22/closed, 80/closed, 443/closed"
DESKTOP-GAO8OBT.lan,192.168.1.72,"22, 80, 443","22/filtered, 80/filtered, 443/filtered"
